Full Name,Entity Type,Last Name,First Name,Second Name
"DING, Zhongli",individual,DING,Zhon,
"AL-SAHHAF, Muhammad Said Kazim",individual,AL-SAHHAF,Mu,Said Kazim
"KHODADADI, Soghra",individual,KHODADADI,So,
"TABACHNYK, Dmytro Volodymyrovych",individual,TABACHNYK,Dm,Volodymyrovych
"GRIGORYEV, Andrey Ivanovich",individual,GRIGORYEV,Andr,Ivanovich
"NEDELJKOVIC, Sinisa",individual,NEDELJKOVIC,Sini,
"WARNIG, Matthias",individual,WARNIG,M,
"ABD'RABBAH, Ghuma",individual,ABD'RABBAH,Ghum,
"KRATOV, Dmitry Borisovich",individual,KRATOV,Dmit,Borisovich
"AL-MANSUR, Salim Mustafa Muhammad",individual,AL-MANSUR,Sali,Mustafa Muhammad
"MALGIN, Pavel Vladimirovich",individual,MALGIN,Pave,Vladimirovich
"KANG, Ryong",individual,KANG,Ryo,
"CHOUKA, Monir",individual,CHOUKA,Moni,
"OREKHOV, Yury Yuryevich",individual,OREKHOV,Y,Yuryevich
"YANUKOVYCH, Viktor Fedorovych",individual,YANUKOVYCH,Vikt,Fedorovych
"SEMNANI, Reza Ebadzadeh",individual,SEMNANI,Re,Ebadzadeh
"BELOUS, German Valentinovich",individual,BELOUS,Germ,Valentinovich
"HAJJLU, Jalal Emami Ghareh",individual,HAJJLU,Jala,Emami Ghareh
"ROSALES MENDOZA, Carlos Alberto",individual,ROSALES MENDOZA,Car,Alberto
"HAMMUD, Ali",individual,HAMMUD,Ali,
"CANAS PULIDO, Ramon Alberto",individual,CANAS PULIDO,Ram,Alberto
"MADURO MOROS, Nicolas",individual,MADURO MOROS,Ni,
"AL-RUBA, Dr. Khadim",individual,AL-RUBA,Dr.,Khadim
"SANCHEZ ARELLANO, Luis Fernando",individual,SANCHEZ ARELLANO,Lui,Fernando
"AL-HUSAYN, Mashhur",individual,AL-HUSAYN,Mas,
"MICHURIN, Igor Aleksandrovich",individual,MICHURIN,I,Aleksandrovich
"ABBAKAR MUHAMAD, Abdul Aziz",individual,ABBAKAR MUHAMAD,A,Aziz
"SALEH, Nedal",individual,SALEH,Ned,
"AMEZCUA CONTRERAS, Jose de Jesus",individual,AMEZCUA CONTRERAS,Jo,de Jesus
"PECHEGIN, Andrey I.",individual,PECHEGIN,A,I.
"PLOTNIKOV, Vladimir Nikolayevich",individual,PLOTNIKOV,Vlad,Nikolayevich
"VOLODIN, Vyacheslav Victorovich",individual,VOLODIN,Vyachesl,Victorovich
"HARB, Mustafa Habib",individual,HARB,M,Habib
"MITYAEV, Dmitriy",individual,MITYAEV,Dmi,
"ZAPATA GARZON, Jhon Fredy",individual,ZAPATA GARZON,Jh,Fredy
"LARIONOVA, Tatiana Petrovna",individual,LARIONOVA,Tatia,Petrovna
"RESTREPO VICTORIA, Maria Teresa",individual,RESTREPO VICTORIA,Ma,Teresa
"AZARI JAHROMI, Mohammad Javad",individual,AZARI JAHROMI,Mohamm,Javad
"NOVIKOV, Vladimir Mikhailovich",individual,NOVIKOV,Vladim,Mikhailovich
"BORISOVA, Natalya Vladimirovna",individual,BORISOVA,Natal,Vladimirovna
"SAEED, Muhammad",individual,SAEED,M,
"AL-QATTAN, Wassim Anwar",individual,AL-QATTAN,Was,Anwar
"REVEROL TORRES, Nestor Luis",individual,REVEROL TORRES,N,Luis
"ASWAD, Ahmad",individual,ASWAD,A,
"KIM, Chol",individual,KIM,Ch,
"AL-YAFI'I, Nashwan al-Wali",individual,AL-YAFI'I,N,al-Wali
"TANG, Chris",individual,TANG,Ch,
"KARFOUL, Hazem Younes",individual,KARFOUL,Ha,Younes
"ABDALLAH, Muhammad Yusif",individual,ABDALLAH,Muh,Yusif
"ZAGARIA, Pasquale",individual,ZAGARIA,Pasqua,
"BARMI, Ruhollah Ghaderi",individual,BARMI,R,Ghaderi
"GONZALEZ POLANCO, Hermagoras",individual,GONZALEZ POLANCO,Herm,
"REZNIK, Vladislav Matusovich",individual,REZNIK,Vladis,Matusovich
"ABU MARZOOK, Mousa Mohammed",individual,ABU MARZOOK,Mo,Mohammed
"TUBAIGY, Salah Muhammed A.",individual,TUBAIGY,Sala,Muhammed A.
"MYINT, Khaing Moe",individual,MYINT,Khai,Moe
"TOLMACHEV, Alexander Romanovich",individual,TOLMACHEV,Al,Romanovich
"KIM, Se Gon",individual,KIM,Se,Gon
"LASHKARYOVA, Nadezhda Vitalyevna",individual,LASHKARYOVA,Nade,Vitalyevna
"MAZHAR, Mohammed",individual,MAZHAR,M,
"MUTREB, Maher Abdulaziz M.",individual,MUTREB,Ma,Abdulaziz M.
"OO, Ye Win",individual,OO,Ye,Win
"SULAYMAN, Dayma",individual,SULAYMAN,D,
"MUSTAFA, Fayiz",individual,MUSTAFA,Fayi,
"TURAYSI, Muhammad Wa'il",individual,TURAYSI,Mu,Wa'il
"YELISEYEV, Ilya Vladimirovich",individual,YELISEYEV,Ily,Vladimirovich
"TORRES ESPINOZA, Ramon Antonio",individual,TORRES ESPINOZA,Ram,Antonio
"BITAR, Bayan",individual,BITAR,Baya,
"RAZVOZHAEV, Mikhail Vladimirovich",individual,RAZVOZHAEV,Mik,Vladimirovich
"ALAR, Roman Anatolyevich",individual,ALAR,Rom,Anatolyevich
"KYA, La Bo",individual,KYA,La,Bo
"LEONOV, Sergey Dmitriyevich",individual,LEONOV,Serg,Dmitriyevich
"SAMAHA, MICHEL",individual,SAMAHA,M,
"ALWAN, Allaidin Hussain",individual,ALWAN,Allaid,Hussain
"KAZAKEVICH, Henadz Arkadzievich",individual,KAZAKEVICH,He,Arkadzievich
"MANSUROV, Dmitri Flerovich",individual,MANSUROV,D,Flerovich
"CONTRERAS NOVOA, Hector",individual,CONTRERAS NOVOA,H,
"TANIDEH, Hossein",individual,TANIDEH,Hosse,
"QADO, Waad",individual,QADO,Waa,
"JADDU', Ahd",individual,JADDU',Ahd,
"AL-MUHAYSINI, 'Abdallah Muhammad Bin-Sulayman",individual,AL-MUHAYSINI,'Abd,Muhammad Bin-Sulayman
"NASR, Isa",individual,NASR,Isa,
"MUCHINGURI, Oppah Chamu Zvipange",individual,MUCHINGURI,Opp,Chamu Zvipange
"SOLOVIEV, Yuriy Alekseyevich",individual,SOLOVIEV,Y,Alekseyevich
"MAKLED GARCIA, Walid",individual,MAKLED GARCIA,W,
"ARSHBA, Otary Ionovich",individual,ARSHBA,O,Ionovich
"BAGHBANI, Gholamreza",individual,BAGHBANI,Ghola,
"SECHIN, Ivan Igorevich",individual,SECHIN,Iva,Igorevich
"KHAZEIN, Mahmoud",individual,KHAZEIN,Mahmo,
"HASANI, Zhavit",individual,HASANI,Z,
"SAVCHENKO, Oleg Vladimirovich",individual,SAVCHENKO,Ole,Vladimirovich
"GONO, Hellin Mushanyuri",individual,GONO,Hel,Mushanyuri
"MAKSIMENKO, Vladimir Ilich",individual,MAKSIMENKO,Vla,Ilich
"EBRAHIMI, Mohsen",individual,EBRAHIMI,M,
"KALASHNIK, Sergey Viktorovich",individual,KALASHNIK,Ser,Viktorovich
"PLAKSINA, Olga",individual,PLAKSINA,Olg,
"ROMO LOPEZ, Martin",individual,ROMO LOPEZ,M,
"CHOMBO, Ignatius Morgan",individual,CHOMBO,Ignat,Morgan
"HAMANDUSH, Muhammad",individual,HAMANDUSH,M,
"RASEVIC, Mitar",individual,RASEVIC,M,
"GHERMAY, Ermias",individual,GHERMAY,E,
"TUAN, Shao Kuei",individual,TUAN,Sha,Kuei
"FAWAZ, Abbas Loutfe",individual,FAWAZ,Abba,Loutfe
"NOGUERA PIETRI, Justo Jose",individual,NOGUERA PIETRI,Jus,Jose
"AITKULOVA, Elvira Rinatovna",individual,AITKULOVA,E,Rinatovna
"IVANOV, Vladimir Valeryevich",individual,IVANOV,Vlad,Valeryevich
"KOZHANOVA, Irina Andreyevna",individual,KOZHANOVA,Ir,Andreyevna
"VINOKUROVA, Yekaterina Sergeyevna",individual,VINOKUROVA,Yekateri,Sergeyevna
"RAJIC, Ivica",individual,RAJIC,Iv,
"IKHTIYAR, Hisham",individual,IKHTIYAR,Hish,
"BAHADORI, Masoud",individual,BAHADORI,Ma,
"DOGAYEV, Akhmed Shamkhanovich",individual,DOGAYEV,Akh,Shamkhanovich
"FLORES CASTRO, Sendy",individual,FLORES CASTRO,Sen,
"AL-GHANDOUR, Abu Anas",individual,AL-GHANDOUR,Abu,Anas
"BUTKA, Spiro",individual,BUTKA,Spi,
"ALVARADO, Imad Abdul Rahim",individual,ALVARADO,I,Abdul Rahim
"MUSAVI, Sayyed Kamal",individual,MUSAVI,S,Kamal
"JABARIN, Zaher",individual,JABARIN,Zah,
"MALYSHEV, Mikhail Grigorevich",individual,MALYSHEV,M,Grigorevich
"DJOUADI, Yahia",individual,DJOUADI,Yah,
"NIKOLAEVA, Victoria Victorovna",individual,NIKOLAEVA,V,Victorovna
